nSeq,I1,I2,O1,O2,A2
0,0,0,0,0,515
1,0,0,0,0,515
2,0,0,0,0,511
3,0,0,0,0,512
4,0,0,0,0,513
5,0,0,0,0,514
6,0,0,0,0,514
7,0,0,0,0,516
8,0,0,0,0,518
9,0,0,0,0,518
10,0,0,0,0,514
11,0,0,0,0,515
12,0,0,0,0,511
13,0,0,0,0,515
14,0,0,0,0,514
15,0,0,0,0,515
0,0,0,0,0,513
1,0,0,0,0,516
2,0,0,0,0,511
3,0,0,0,0,513
4,0,0,0,0,512
5,0,0,0,0,514
6,0,0,0,0,515
7,0,0,0,0,515
8,0,0,0,0,506
9,0,0,0,0,508
10,0,0,0,0,507
11,0,0,0,0,513
12,0,0,0,0,515
13,0,0,0,0,518
14,0,0,0,0,516
15,0,0,0,0,519
0,0,0,0,0,517
1,0,0,0,0,518
2,0,0,0,0,512
3,0,0,0,0,519
4,0,0,0,0,542
5,0,0,0,0,522
6,0,0,0,0,431
7,0,0,0,0,373
8,0,0,0,0,492
9,0,0,0,0,587
10,0,0,0,0,570
11,0,0,0,0,543
12,0,0,0,0,528
13,0,0,0,0,528
14,0,0,0,0,524
15,0,0,0,0,522
0,0,0,0,0,519
1,0,0,0,0,518
2,0,0,0,0,515
3,0,0,0,0,519
4,0,0,0,0,517
5,0,0,0,0,515
6,0,0,0,0,514
7,0,0,0,0,516
8,0,0,0,0,513
9,0,0,0,0,513
10,0,0,0,0,511
11,0,0,0,0,513
12,0,0,0,0,509
13,0,0,0,0,510
14,0,0,0,0,506
15,0,0,0,0,510
0,0,0,0,0,510
1,0,0,0,0,514
2,0,0,0,0,515
3,0,0,0,0,522
4,0,0,0,0,525
5,0,0,0,0,526
6,0,0,0,0,524
7,0,0,0,0,525
8,0,0,0,0,521
9,0,0,0,0,521
10,0,0,0,0,519
11,0,0,0,0,520
12,0,0,0,0,519
13,0,0,0,0,520
14,0,0,0,0,518
15,0,0,0,0,516
0,0,0,0,0,515
1,0,0,0,0,516
2,0,0,0,0,514
3,0,0,0,0,516
4,0,0,0,0,512
5,0,0,0,0,511
6,0,0,0,0,511
7,0,0,0,0,511
8,0,0,0,0,510
9,0,0,0,0,511
10,0,0,0,0,512
11,0,0,0,0,514
12,0,0,0,0,512
13,0,0,0,0,516
14,0,0,0,0,514
15,0,0,0,0,513
0,0,0,0,0,511
1,0,0,0,0,509
2,0,0,0,0,508
3,0,0,0,0,509
4,0,0,0,0,510
5,0,0,0,0,512
6,0,0,0,0,510
7,0,0,0,0,511
8,0,0,0,0,509
9,0,0,0,0,511
10,0,0,0,0,509
11,0,0,0,0,511
12,0,0,0,0,509
13,0,0,0,0,513
14,0,0,0,0,509
15,0,0,0,0,514
0,0,0,0,0,513
1,0,0,0,0,516
2,0,0,0,0,518
3,0,0,0,0,523
4,0,0,0,0,521
5,0,0,0,0,511
6,0,0,0,0,511
7,0,0,0,0,511
8,0,0,0,0,511
9,0,0,0,0,516
10,0,0,0,0,518
11,0,0,0,0,518
12,0,0,0,0,519
13,0,0,0,0,519
14,0,0,0,0,516
15,0,0,0,0,514
0,0,0,0,0,523
1,0,0,0,0,542
2,0,0,0,0,504
3,0,0,0,0,418
4,0,0,0,0,394
5,0,0,0,0,534
6,0,0,0,0,584
7,0,0,0,0,555
8,0,0,0,0,529
9,0,0,0,0,520
10,0,0,0,0,512
11,0,0,0,0,510
12,0,0,0,0,510
13,0,0,0,0,511
14,0,0,0,0,509
15,0,0,0,0,509
0,0,0,0,0,506
1,0,0,0,0,507
2,0,0,0,0,503
3,0,0,0,0,506
4,0,0,0,0,507
5,0,0,0,0,509
6,0,0,0,0,506
7,0,0,0,0,505
8,0,0,0,0,503
9,0,0,0,0,503
10,0,0,0,0,497
11,0,0,0,0,502
12,0,0,0,0,502
