nSeq,I1,I2,O1,O2,A3
0,0,0,0,0,426
1,0,0,0,0,427
2,0,0,0,0,426
3,0,0,0,0,426
4,0,0,0,0,426
5,0,0,0,0,426
6,0,0,0,0,426
7,0,0,0,0,426
8,0,0,0,0,426
9,0,0,0,0,426
10,0,0,0,0,426
11,0,0,0,0,426
12,0,0,0,0,426
13,0,0,0,0,426
14,0,0,0,0,426
15,0,0,0,0,426
0,0,0,0,0,426
1,0,0,0,0,426
2,0,0,0,0,426
3,0,0,0,0,426
4,0,0,0,0,425
5,0,0,0,0,426
6,0,0,0,0,425
7,0,0,0,0,425
8,0,0,0,0,425
9,0,0,0,0,426
10,0,0,0,0,425
11,0,0,0,0,425
12,0,0,0,0,425
13,0,0,0,0,425
14,0,0,0,0,425
15,0,0,0,0,425
0,0,0,0,0,425
1,0,0,0,0,425
2,0,0,0,0,425
3,0,0,0,0,425
4,0,0,0,0,425
5,0,0,0,0,425
6,0,0,0,0,425
7,0,0,0,0,425
8,0,0,0,0,425
9,0,0,0,0,425
10,0,0,0,0,425
11,0,0,0,0,425
12,0,0,0,0,425
13,0,0,0,0,425
14,0,0,0,0,425
15,0,0,0,0,425
0,0,0,0,0,425
1,0,0,0,0,425
2,0,0,0,0,425
3,0,0,0,0,425
4,0,0,0,0,425
5,0,0,0,0,425
6,0,0,0,0,425
7,0,0,0,0,425
8,0,0,0,0,425
9,0,0,0,0,425
10,0,0,0,0,425
11,0,0,0,0,425
12,0,0,0,0,425
13,0,0,0,0,425
14,0,0,0,0,424
15,0,0,0,0,424
0,0,0,0,0,424
1,0,0,0,0,424
2,0,0,0,0,424
3,0,0,0,0,424
4,0,0,0,0,424
5,0,0,0,0,425
6,0,0,0,0,424
7,0,0,0,0,424
8,0,0,0,0,424
9,0,0,0,0,424
10,0,0,0,0,424
11,0,0,0,0,424
12,0,0,0,0,424
13,0,0,0,0,424
14,0,0,0,0,424
15,0,0,0,0,424
0,0,0,0,0,424
1,0,0,0,0,424
2,0,0,0,0,424
3,0,0,0,0,424
4,0,0,0,0,424
5,0,0,0,0,425
6,0,0,0,0,424
7,0,0,0,0,424
8,0,0,0,0,425
9,0,0,0,0,425
10,0,0,0,0,424
11,0,0,0,0,425
12,0,0,0,0,425
13,0,0,0,0,425
14,0,0,0,0,425
15,0,0,0,0,425
