nSeq,I1,I2,O1,O2,A1
0,0,0,0,0,513
1,0,0,0,0,490
2,0,0,0,0,505
3,0,0,0,0,497
4,0,0,0,0,510
5,0,0,0,0,487
6,0,0,0,0,510
7,0,0,0,0,484
8,0,0,0,0,511
9,0,0,0,0,506
10,0,0,0,0,517
11,0,0,0,0,488
12,0,0,0,0,527
13,0,0,0,0,496
14,0,0,0,0,508
15,0,0,0,0,492
0,0,0,0,0,508
1,0,0,0,0,495
2,0,0,0,0,508
3,0,0,0,0,492
4,0,0,0,0,515
5,0,0,0,0,455
6,0,0,0,0,513
7,0,0,0,0,489
8,0,0,0,0,509
9,0,0,0,0,496
10,0,0,0,0,507
11,0,0,0,0,489
12,0,0,0,0,517
13,0,0,0,0,504
14,0,0,0,0,496
15,0,0,0,0,491
0,0,0,0,0,509
1,0,0,0,0,490
2,0,0,0,0,514
3,0,0,0,0,475
4,0,0,0,0,516
5,0,0,0,0,492
6,0,0,0,0,505
7,0,0,0,0,497
8,0,0,0,0,506
9,0,0,0,0,494
10,0,0,0,0,505
11,0,0,0,0,497
12,0,0,0,0,504
13,0,0,0,0,501
14,0,0,0,0,501
15,0,0,0,0,493
0,0,0,0,0,497
1,0,0,0,0,496
2,0,0,0,0,517
3,0,0,0,0,489
4,0,0,0,0,515
5,0,0,0,0,491
6,0,0,0,0,508
7,0,0,0,0,497
8,0,0,0,0,511
9,0,0,0,0,499
10,0,0,0,0,510
11,0,0,0,0,493
12,0,0,0,0,518
13,0,0,0,0,489
14,0,0,0,0,521
15,0,0,0,0,492
0,0,0,0,0,503
1,0,0,0,0,481
2,0,0,0,0,513
3,0,0,0,0,494
4,0,0,0,0,509
5,0,0,0,0,488
6,0,0,0,0,519
7,0,0,0,0,494
8,0,0,0,0,495
9,0,0,0,0,498
10,0,0,0,0,510
11,0,0,0,0,486
12,0,0,0,0,508
13,0,0,0,0,489
14,0,0,0,0,515
15,0,0,0,0,504
0,0,0,0,0,516
1,0,0,0,0,478
2,0,0,0,0,512
3,0,0,0,0,492
4,0,0,0,0,502
5,0,0,0,0,492
6,0,0,0,0,512
7,0,0,0,0,490
8,0,0,0,0,505
9,0,0,0,0,487
10,0,0,0,0,518
11,0,0,0,0,482
12,0,0,0,0,519
13,0,0,0,0,487
14,0,0,0,0,509
15,0,0,0,0,492
0,0,0,0,0,508
1,0,0,0,0,491
2,0,0,0,0,512
3,0,0,0,0,488
4,0,0,0,0,513
5,0,0,0,0,499
6,0,0,0,0,516
7,0,0,0,0,498
